Date,Dew Point (°C) AVG,Dew Point (°C) HIGH,Dew Point (°C) LOW,Events,Humidity (%) AVG,Humidity (%) HIGH,Humidity (%) LOW,Precip. (mm),Sea Level Press. (hPa) AVG,Sea Level Press. (hPa) HIGH,Sea Level Press. (hPa) LOW,Temp. (°C) AVG,Temp. (°C) HIGH,Temp. (°C) LOW,Visibility (km) AVG,Visibility (km) HIGH,Visibility (km) LOW,Wind (km/h) AVG,Wind (km/h) HIGH,Wind (km/h) LOW
1997-01-01,-8.0,-6.0,-10.0,Snow,67.0,80.0,55.0,0.0,1022.0,1024.0,1021.0,-3.0,-2.0,-4.0,10.0,10.0,5.0,24.0,29.0,48.0
1997-01-02,-6.0,-4.0,-8.0,,78.0,86.0,60.0,0.0,1021.0,1024.0,1017.0,-2.0,1.0,-5.0,10.0,10.0,10.0,6.0,16.0,
1997-01-03,-6.0,-4.0,-6.0,Snow,78.0,80.0,69.0,0.0,1013.0,1017.0,1011.0,-2.0,-1.0,-3.0,9.0,10.0,7.0,14.0,21.0,
1997-01-04,-2.0,-1.0,-4.0,Snow,84.0,93.0,70.0,0.0,1009.0,1011.0,1008.0,0.0,1.0,-1.0,9.0,10.0,4.0,23.0,32.0,42.0
1997-01-05,-3.0,-1.0,-5.0,Snow,71.0,87.0,56.0,0.0,1014.0,1016.0,1012.0,1.0,3.0,0.0,10.0,10.0,6.0,19.0,26.0,
1997-01-06,-3.0,-2.0,-5.0,Snow,69.0,81.0,56.0,0.0,1020.0,1022.0,1018.0,2.0,3.0,1.0,10.0,10.0,10.0,16.0,23.0,
1997-01-07,-5.0,-3.0,-6.0,Snow,73.0,80.0,64.0,0.0,1021.0,1022.0,1019.0,0.0,1.0,-1.0,10.0,10.0,10.0,16.0,23.0,
1997-01-08,-4.0,-3.0,-6.0,Snow,79.0,86.0,74.0,0.0,1012.0,1017.0,1007.0,-2.0,0.0,-3.0,9.0,10.0,6.0,14.0,24.0,
1997-01-09,-2.0,1.0,-4.0,"Rain,Snow",91.0,100.0,80.0,0.0,1008.0,1014.0,1005.0,-1.0,1.0,-2.0,5.0,10.0,2.0,14.0,19.0,
1997-01-10,-3.0,-1.0,-4.0,Snow,80.0,93.0,75.0,0.0,1019.0,1022.0,1015.0,0.0,1.0,0.0,9.0,10.0,7.0,10.0,14.0,
1997-01-11,1.0,4.0,-2.0,"Fog,Rain",93.0,100.0,81.0,0.0,1023.0,1024.0,1022.0,2.0,4.0,0.0,2.0,5.0,1.0,11.0,14.0,
1997-01-12,7.0,8.0,0.0,Fog,97.0,100.0,66.0,0.0,1025.0,1025.0,1023.0,7.0,8.0,6.0,4.0,9.0,0.0,8.0,14.0,
1997-01-13,4.0,7.0,0.0,,81.0,100.0,62.0,0.0,1023.0,1025.0,1023.0,7.0,11.0,4.0,6.0,10.0,2.0,8.0,16.0,
1997-01-14,1.0,2.0,-2.0,Fog,82.0,93.0,70.0,0.0,1021.0,1023.0,1019.0,3.0,7.0,0.0,5.0,9.0,3.0,3.0,8.0,
1997-01-15,0.0,2.0,-3.0,Fog,99.0,100.0,93.0,0.0,1021.0,1022.0,1021.0,-1.0,2.0,-3.0,0.0,1.0,0.0,3.0,6.0,
1997-01-16,1.0,4.0,-3.0,Fog,89.0,100.0,66.0,0.0,1017.0,1020.0,1013.0,3.0,9.0,-2.0,3.0,7.0,0.0,5.0,19.0,
1997-01-17,4.0,7.0,2.0,Rain,91.0,100.0,76.0,0.0,1009.0,1012.0,1008.0,6.0,8.0,3.0,6.0,9.0,3.0,11.0,23.0,
1997-01-18,6.0,7.0,4.0,Rain,94.0,100.0,87.0,0.0,1014.0,1016.0,1011.0,7.0,9.0,4.0,6.0,10.0,3.0,8.0,19.0,
1997-01-19,4.0,6.0,3.0,"Fog,Rain",95.0,100.0,87.0,0.0,1008.0,1015.0,1006.0,4.0,6.0,4.0,4.0,10.0,0.0,11.0,21.0,
1997-01-20,3.0,4.0,1.0,Rain,82.0,93.0,70.0,0.0,1024.0,1030.0,1017.0,4.0,7.0,3.0,9.0,10.0,4.0,10.0,16.0,
1997-01-21,1.0,2.0,-1.0,,80.0,100.0,61.0,0.0,1027.0,1030.0,1020.0,3.0,6.0,2.0,9.0,10.0,5.0,11.0,29.0,
1997-01-22,6.0,8.0,2.0,"Fog,Rain",96.0,100.0,93.0,0.0,1013.0,1016.0,1011.0,6.0,8.0,3.0,4.0,8.0,1.0,13.0,21.0,
1997-01-23,6.0,8.0,4.0,,88.0,100.0,76.0,0.0,1019.0,1023.0,1014.0,7.0,9.0,6.0,8.0,10.0,2.0,8.0,14.0,
1997-01-24,3.0,5.0,2.0,Fog,84.0,100.0,62.0,0.0,1027.0,1030.0,1023.0,6.0,11.0,2.0,5.0,10.0,0.0,3.0,10.0,
1997-01-25,2.0,5.0,1.0,Fog,81.0,100.0,54.0,0.0,1032.0,1033.0,1031.0,6.0,11.0,1.0,5.0,9.0,2.0,6.0,14.0,
1997-01-26,2.0,3.0,0.0,Fog,88.0,100.0,66.0,0.0,1032.0,1033.0,1031.0,4.0,8.0,1.0,3.0,8.0,2.0,5.0,19.0,
1997-01-27,2.0,5.0,1.0,"Fog,Rain",91.0,100.0,76.0,0.0,1034.0,1036.0,1032.0,4.0,8.0,1.0,2.0,4.0,0.0,5.0,6.0,
1997-01-28,3.0,4.0,1.0,,85.0,93.0,71.0,0.0,1041.0,1042.0,1039.0,6.0,8.0,3.0,9.0,10.0,5.0,8.0,14.0,
1997-01-29,3.0,4.0,1.0,Rain,86.0,93.0,76.0,0.0,1041.0,1043.0,1040.0,4.0,6.0,4.0,8.0,10.0,3.0,8.0,21.0,
1997-01-30,1.0,2.0,0.0,,79.0,87.0,70.0,0.0,1038.0,1039.0,1037.0,4.0,5.0,4.0,10.0,10.0,10.0,18.0,23.0,
1997-01-31,1.0,2.0,0.0,,80.0,81.0,75.0,0.0,1035.0,1037.0,1033.0,4.0,5.0,4.0,9.0,10.0,7.0,18.0,24.0,
1997-02-01,2.0,3.0,1.0,,79.0,87.0,66.0,0.0,1029.0,1033.0,1027.0,6.0,7.0,4.0,8.0,10.0,5.0,16.0,26.0,
1997-02-02,4.0,6.0,1.0,Rain,90.0,100.0,81.0,0.0,1025.0,1028.0,1024.0,6.0,8.0,3.0,5.0,10.0,2.0,8.0,13.0,
1997-02-03,-1.0,3.0,-3.0,Fog,77.0,100.0,46.0,0.0,1027.0,1029.0,1022.0,3.0,9.0,-2.0,9.0,10.0,4.0,6.0,24.0,
1997-02-04,6.0,9.0,4.0,Rain,86.0,100.0,81.0,0.0,1013.0,1020.0,1009.0,8.0,10.0,7.0,9.0,10.0,3.0,27.0,37.0,55.0
1997-02-05,4.0,7.0,2.0,Rain,84.0,100.0,62.0,0.0,1019.0,1026.0,1009.0,7.0,10.0,3.0,7.0,10.0,4.0,10.0,19.0,
1997-02-06,7.0,8.0,4.0,Rain,86.0,93.0,76.0,0.0,1024.0,1026.0,1023.0,8.0,10.0,6.0,10.0,10.0,8.0,19.0,27.0,
1997-02-07,8.0,10.0,5.0,Rain,88.0,94.0,82.0,0.0,1024.0,1030.0,1022.0,9.0,11.0,6.0,9.0,10.0,4.0,18.0,26.0,
1997-02-08,2.0,5.0,-2.0,Fog,92.0,100.0,71.0,0.0,1031.0,1033.0,1028.0,4.0,10.0,-2.0,4.0,10.0,0.0,5.0,16.0,
1997-02-09,7.0,8.0,4.0,Rain,85.0,100.0,67.0,0.0,1023.0,1027.0,1020.0,8.0,12.0,5.0,9.0,10.0,6.0,18.0,24.0,
1997-02-10,5.0,10.0,-2.0,Rain,78.0,94.0,57.0,0.0,1010.0,1019.0,1004.0,8.0,11.0,5.0,9.0,10.0,5.0,27.0,37.0,66.0
1997-02-11,5.0,11.0,1.0,Rain,82.0,100.0,66.0,0.0,1013.0,1018.0,1005.0,8.0,12.0,5.0,10.0,10.0,9.0,21.0,26.0,50.0
1997-02-12,9.0,10.0,9.0,Rain,89.0,94.0,82.0,0.0,1002.0,1007.0,996.0,11.0,12.0,10.0,10.0,10.0,6.0,26.0,34.0,60.0
1997-02-13,1.0,5.0,-4.0,Rain,66.0,87.0,40.0,0.0,998.0,1006.0,991.0,7.0,9.0,5.0,10.0,10.0,10.0,29.0,47.0,80.0
1997-02-14,1.0,2.0,-1.0,,78.0,93.0,57.0,0.0,1002.0,1006.0,1000.0,4.0,7.0,2.0,10.0,10.0,8.0,5.0,11.0,
1997-02-15,1.0,2.0,-1.0,,72.0,93.0,50.0,0.0,1019.0,1023.0,1010.0,6.0,10.0,1.0,10.0,10.0,10.0,8.0,14.0,
1997-02-16,3.0,6.0,1.0,Rain,85.0,93.0,66.0,0.0,1015.0,1022.0,1010.0,6.0,8.0,4.0,9.0,10.0,5.0,16.0,34.0,48.0
1997-02-17,6.0,9.0,5.0,Rain,85.0,94.0,76.0,0.0,1010.0,1012.0,1005.0,8.0,10.0,7.0,10.0,10.0,9.0,21.0,35.0,58.0
1997-02-18,3.0,9.0,-1.0,Rain,76.0,94.0,58.0,0.0,1006.0,1019.0,1000.0,7.0,11.0,3.0,10.0,10.0,3.0,27.0,39.0,66.0
1997-02-19,4.0,10.0,-1.0,Rain,83.0,100.0,71.0,0.0,1014.0,1025.0,998.0,7.0,10.0,3.0,9.0,10.0,5.0,23.0,52.0,84.0
1997-02-20,3.0,6.0,0.0,Rain,68.0,82.0,58.0,0.0,1018.0,1020.0,1013.0,9.0,12.0,6.0,10.0,10.0,10.0,26.0,35.0,58.0
1997-02-21,7.0,10.0,5.0,Rain,78.0,100.0,59.0,0.0,1019.0,1025.0,1015.0,12.0,14.0,10.0,9.0,10.0,4.0,27.0,37.0,60.0
1997-02-22,6.0,9.0,4.0,Rain,80.0,94.0,62.0,0.0,1022.0,1026.0,1016.0,9.0,11.0,8.0,10.0,10.0,9.0,14.0,24.0,
1997-02-23,7.0,9.0,5.0,Rain,76.0,88.0,63.0,0.0,1006.0,1015.0,998.0,11.0,14.0,9.0,10.0,10.0,7.0,24.0,45.0,77.0
1997-02-24,5.0,10.0,2.0,Rain,79.0,100.0,58.0,0.0,990.0,994.0,978.0,8.0,11.0,5.0,9.0,10.0,4.0,32.0,50.0,89.0
1997-02-25,4.0,7.0,3.0,Rain,66.0,82.0,51.0,0.0,989.0,994.0,983.0,11.0,14.0,9.0,10.0,10.0,5.0,31.0,37.0,66.0
1997-02-26,2.0,4.0,-1.0,Rain,66.0,81.0,47.0,0.0,1005.0,1019.0,997.0,9.0,12.0,5.0,10.0,10.0,10.0,29.0,45.0,82.0
1997-02-27,3.0,6.0,0.0,,74.0,87.0,62.0,0.0,1029.0,1031.0,1024.0,7.0,11.0,3.0,10.0,10.0,10.0,16.0,32.0,
1997-02-28,7.0,10.0,4.0,,80.0,94.0,71.0,0.0,1022.0,1025.0,1020.0,10.0,13.0,8.0,10.0,10.0,10.0,21.0,29.0,
1997-03-01,5.0,7.0,4.0,,82.0,100.0,67.0,0.0,1022.0,1024.0,1018.0,8.0,12.0,5.0,10.0,10.0,9.0,14.0,39.0,55.0
1997-03-02,6.0,10.0,0.0,Rain,71.0,88.0,41.0,0.0,1016.0,1024.0,1011.0,11.0,13.0,9.0,10.0,10.0,5.0,31.0,40.0,69.0
1997-03-03,3.0,5.0,-1.0,Rain,77.0,93.0,50.0,0.0,1031.0,1033.0,1028.0,7.0,10.0,4.0,10.0,10.0,10.0,5.0,21.0,
